AIS Id	Ordnung	AIS Code	ISS BodyRegion DE	Label DE					
781	01			Kopf					
782	01.01			Gehirn					
783	01.01.01			Großhirn					
784	01.01.01.01			Kontusionen					
785	01.01.01.01.01	140605.2	1: Kopf / Hals	winzig, < 1cm im Durchmesser					
786	01.01.01.01.02	140606.3	1: Kopf / Hals	"klein, oberflächlich, 1-4cm im Durchmesser (Kinder: &le; 2cm) oder Volumen < 30cm&sup3; (Kinder: < 15cm&sup3;); Mittellinienverlagerung &le; 5mm"					
787	01.01.01.01.03	140608.4	1: Kopf / Hals	"groß, > 4cm im Durchmesser (Kinder: > 2cm) oder Volumen 30-50cm&sup3; (Kinder 15-30cm&sup3;); Mittellinienverlagerung > 5mm"					
788	01.01.01.01.04	140610.5	1: Kopf / Hals	"ausgedehnt, massiv; Volumen > 50cm&sup3; (Kinder: > 30cm&sup3;)"					
789	01.01.01.01.05	140611.3	1: Kopf / Hals	multiple Kontusionen					
790	01.01.01.02			"Blutungen; Hämatome (Großhirn)"					
791	01.01.01.02.01			Epiduralblutung					
792	01.01.01.02.01.01	140630.3	1: Kopf / Hals	Ausdehnung nicht genau bekannt					
793	01.01.01.02.01.02	140631.2	1: Kopf / Hals	winzig: < 0,6cm dick					
794	01.01.01.02.01.03	140632.4	1: Kopf / Hals	"klein, mäßig: 0,6-1cm dick oder Volumen &le; 50cm&sup3; (Kinder: &le; 25cm&sup3;)"					
795	01.01.01.02.01.04	140634.5	1: Kopf / Hals	klein, mäßig: bilateral					
796	01.01.01.02.01.05	140636.5	1: Kopf / Hals	"groß, massiv, ausgedehnt: > 1cm dick oder Volumen > 50cm&sup3; (Kinder: > 25cm&sup3;)"					
797	01.01.01.02.02			Subduralblutung					
798	01.01.01.02.02.01	140650.3	1: Kopf / Hals	Ausdehnung nicht genau bekannt					
799	01.01.01.02.02.02	140651.3	1: Kopf / Hals	winzig: < 0,6cm dick					
800	01.01.01.02.02.03	140652.4	1: Kopf / Hals	"klein: 0,6-1cm dick oder Volumen &le; 50cm&sup3; (Kinder &le; 25cm&sup3;)"					
801	01.01.01.02.02.04	140656.5	1: Kopf / Hals	"groß, massiv, ausgedehnt: > 1cm dick oder Volumen > 50cm&sup3; (Kinder: > 25cm&sup3;)"					
802	01.01.01.02.03			SAB / Intraventrikulär					
803	01.01.01.02.03.01	140693.2	1: Kopf / Hals	Subarachnoidalblutung (SAB)					
804	01.01.01.02.03.02	140695.3	1: Kopf / Hals	Subarachnoidalblutung (SAB) mit mind. 6 Std. Koma					
805	01.01.01.02.03.03	140675.2	1: Kopf / Hals	intraventriculäre Blutung					
806	01.01.01.02.03.04	140677.4	1: Kopf / Hals	intraventriculäre Blutung mit mind. 6 Std. Koma					
807	01.01.01.02.04			Intracerebrale Blutung					
808	01.01.01.02.04.01	140638.3	1: Kopf / Hals	Ausdehnung nicht genau bekannt					
809	01.01.01.02.04.02	140639.2	1: Kopf / Hals	winzig, einzeln oder multipel, < 1cm im Durchmesser					
810	01.01.01.02.04.03	140640.4	1: Kopf / Hals	"klein: 1-4cm im Durchmesser (Kinder &le; 1cm) oder Volumen &le; 30cm&sup3; (Kinder: &le; 15cm&sup3;)"					
811	01.01.01.02.04.04	140648.5	1: Kopf / Hals	"groß, massiv: Volumen > 30cm&sup3; (Kinder > 15cm&sup3;) oder > 4cm im Durchmesser (Kinder > 1cm)"					
812	01.01.01.03			Verletzungen, sonstige					
813	01.01.01.03.01	140687.3	1: Kopf / Hals	"Verletzung, &le; 2cm lang oder tief"					
814	01.01.01.03.02	140686.4	1: Kopf / Hals	Verletzung, > 2cm lang oder tief					
815	01.01.01.03.03	140682.3	1: Kopf / Hals	Pneumocephalus					
816	01.01.01.03.04	140799.3	1: Kopf / Hals	Hypophysenverletzung					
817	01.01.01.04			"Schwellung; Ödem"					
818	01.01.01.04.01	140662.3	1: Kopf / Hals	gering, mit Ventrikelkompression aber ohne Tangierung der Hirnstammcisterne					
819	01.01.01.04.02	140664.4	1: Kopf / Hals	"mäßig; mit Ventrikelkompression und Kompression der Hirnstammcisterne"					
820	01.01.01.04.03	140666.5	1: Kopf / Hals	"schwer; ohne Sichtbarkeit von Ventrikeln oder Hirnstamm Zisternen; komplette Kompression"					
821	01.01.01.05			"Infarkt; Ischämie, Großhirn"					
822	01.01.01.05.01	140681.3	1: Kopf / Hals	Ischämische Hirnschädigung					
823	01.01.01.05.02	140683.5	1: Kopf / Hals	Ischämische Hirnschädigung mit mind. 6 Std. Koma					
824	01.01.01.05.03	140676.3	1: Kopf / Hals	Infarkt (bedingt durch traumat. Gefäßverschluss)					
825	01.01.02			Kleinhirn					
826	01.01.02.01			Kontusionen					
827	01.01.02.01.01	140407.2	1: Kopf / Hals	Kontusion, winzig, < 1cm im Durchmesser					
828	01.01.02.01.02	140403.3	1: Kopf / Hals	"Kontusion, klein, oberflächlich, 1-3cm im Durchmesser oder < 15cm&sup3; Volumen"					
829	01.01.02.01.03	140404.4	1: Kopf / Hals	"Kontusion, groß, > 3cm im Durchmesser oder 15-30cm&sup3; Volumen"					
830	01.01.02.01.04	140405.5	1: Kopf / Hals	"Kontusion, ausgedehnt, massiv; > 30cm&sup3; Volumen"					
831	01.01.02.02			Epi- und Extradurale Blutungen, Hämatome, Kleinhirn					
832	01.01.02.02.01			Epi- und Extradurale Blutungen					
833	01.01.02.02.01.01	140414.3	1: Kopf / Hals	Ausdehnung nicht genau bekannt					
834	01.01.02.02.01.02	140416.2	1: Kopf / Hals	winzig: < 0,6cm dick					
835	01.01.02.02.01.03	140418.4	1: Kopf / Hals	"klein: 0,6-1cm dick oder Volumen &le; 30cm&sup3; (Kinder: &le; 15cm&sup3;)"					
836	01.01.02.02.01.04	140422.5	1: Kopf / Hals	"groß, massiv: > 1cm dick oder Volumen > 30cm&sup3; (Kinder: > 15cm&sup3;)"					
837	01.01.02.02.02			Intracerebrale Blutungen					
838	01.01.02.02.02.01	140426.3	1: Kopf / Hals	Ausdehnung nicht genau bekannt					
839	01.01.02.02.02.02	140428.2	1: Kopf / Hals	winzig: < 0,6cm dick					
840	01.01.02.02.02.03	140430.4	1: Kopf / Hals	"klein: 0,6-1cm dick oder Volumen &le; 30cm&sup3;"					
841	01.01.02.02.02.04	140434.5	1: Kopf / Hals	"groß, massiv: >1cm dick oder Volumen > 30cm&sup3;"					
842	01.01.02.02.03			Subdurale Blutungen					
843	01.01.02.02.03.01	140438.3	1: Kopf / Hals	Ausdehnung nicht genau bekannt					
844	01.01.02.02.03.02	140440.2	1: Kopf / Hals	winzig: < 0,6cm dick					
845	01.01.02.02.03.03	140442.4	1: Kopf / Hals	"klein: 0,6-1cm dick oder Volumen &le; 30cm&sup3; (Kinder < 10 Jahre: &le; 15cm&sup3;)"					
846	01.01.02.02.03.04	140446.5	1: Kopf / Hals	"groß, massiv: > 1cm dick oder Volumen > 30cm&sup3; (Kinder < 10 Jahre: > 15cm&sup3;)"					
847	01.01.02.02.04	140466.2	1: Kopf / Hals	Subarachnoidalblutung (SAB)					
848	01.01.02.03			Verletzungen, Kleinhirn					
849	01.01.02.03.01	140473.3	1: Kopf / Hals	Verletzung < 2cm lang					
850	01.01.02.03.02	140472.4	1: Kopf / Hals	"Verletzung, &ge; 2cm lang"					
851	01.01.02.04	140450.3	1: Kopf / Hals	"Schwellung; Ödem"					
852	01.01.02.05	140458.3	1: Kopf / Hals	"Infarkt; ischämische Hirnschädigung (traumatisch bedingt)"					
853	01.01.03			Hirnstamm					
854	01.01.03.01	140202.5	1: Kopf / Hals	Kompression, Kontusion, Blutung, Infarkt					
855	01.01.03.02	140212.6	1: Kopf / Hals	"Verletzung; Durchtrennung, Massive Zerstörung"					
856	01.01.04			Diffuse axonale Schädigung					
857	01.01.04.01	161008.4	1: Kopf / Hals	mit 6-24 Std. Bewusstlosigkeit					
858	01.01.04.02	161011.5	1: Kopf / Hals	mit > 24 Std. Bewusstlosigkeit, oder mit Hirnstammzeichen					
859	01.01.05			Commotio					
860	01.01.05.01	161001.1	1: Kopf / Hals	Gehirnerschütterung, Commotio cerebri					
